alpha_deg,case,x,y,objective,objective_per_scalar,residual_rms,worker
72.0,off_center,1.0,-1.0,0.3299936652078853,0.03299936652078853,0.2569021857469824,5
73.0,center,1.0,0.0,12.406777031085502,1.2406777031085503,1.5752318579234934,5
73.0,off_center,1.0,-1.0,0.45306279948900874,0.04530627994890087,0.3010192018755643,5
74.0,center,1.0,0.0,15.53913227672243,1.553913227672243,1.762902849094211,5
74.0,off_center,1.0,-1.0,0.6117917521990495,0.061179175219904944,0.34979758495422736,5
75.0,center,1.0,0.0,18.096435514180538,1.8096435514180538,1.902442404604173,5
75.0,off_center,1.0,-1.0,0.7983419325879786,0.07983419325879786,0.39958526814385403,5
76.0,center,1.0,0.0,18.558766806844865,1.8558766806844864,1.9265911245951937,5
76.0,off_center,1.0,-1.0,1.0067864247902671,0.10067864247902672,0.4487285203305596,5
77.0,center,1.0,0.0,17.596888725024833,1.7596888725024833,1.8760004650865538,5
77.0,off_center,1.0,-1.0,1.215461762518101,0.1215461762518101,0.49304396609594586,5
78.0,center,1.0,0.0,15.022244074170983,1.5022244074170983,1.7333345940222264,5
78.0,off_center,1.0,-1.0,1.3693100176867072,0.13693100176867073,0.5233182621859679,5
79.0,center,1.0,0.0,9.623419438992151,0.9623419438992151,1.3873297689440784,5
79.0,off_center,1.0,-1.0,1.374259870485147,0.1374259870485147,0.5242632679265536,5
80.0,center,1.0,0.0,3.2058040093177005,0.32058040093177004,0.8007251724927474,5
80.0,off_center,1.0,-1.0,1.2140857791422026,0.12140857791422026,0.4927648078225966,5
