alpha_deg,case,x,y,objective,objective_per_scalar,residual_rms,worker
52.0,center,1.0,0.0,4.344231060594003,0.4344231060594003,0.9321192048868002,2
52.0,off_center,1.0,-1.0,0.14415793957757989,0.014415793957757989,0.16979866876838576,2
53.0,center,1.0,0.0,4.299399771706887,0.4299399771706887,0.9272971230093283,2
53.0,off_center,1.0,-1.0,0.1414029061331787,0.014140290613317872,0.16816831219535905,2
54.0,center,1.0,0.0,3.9024204529239355,0.39024204529239354,0.8834501064490213,3
54.0,off_center,1.0,-1.0,0.12235594654821473,0.012235594654821474,0.15643269897832404,3
55.0,center,1.0,0.0,3.0698240586626273,0.30698240586626274,0.7835590671624734,3
55.0,off_center,1.0,-1.0,0.09066163997868587,0.009066163997868587,0.13465633292102222,3
56.0,center,1.0,0.0,2.068484250559493,0.2068484250559493,0.6431927006052686,3
56.0,off_center,1.0,-1.0,0.05980286784103164,0.005980286784103164,0.10936440722742627,3
57.0,center,1.0,0.0,1.3026956713555613,0.13026956713555612,0.5104303422320349,3
57.0,off_center,1.0,-1.0,0.03836617506494622,0.003836617506494622,0.08759700344754519,3
58.0,center,1.0,0.0,0.8563387886534277,0.08563387886534277,0.4138450890498588,3
58.0,off_center,1.0,-1.0,0.02575696656914253,0.002575696656914253,0.07177320749296709,3
59.0,center,1.0,0.0,0.5810971172359585,0.058109711723595844,0.34090969984321606,3
59.0,off_center,1.0,-1.0,0.017564849464762555,0.0017564849464762554,0.059270312070652295,3
60.0,center,1.0,0.0,0.35435157275638784,0.035435157275638784,0.2662147902564348,3
60.0,off_center,1.0,-1.0,0.010583220542349392,0.0010583220542349392,0.04600700064631336,3
61.0,center,1.0,0.0,0.16548769661365972,0.016548769661365974,0.18192729130818155,3
61.0,off_center,1.0,-1.0,0.004863914544632197,0.00048639145446321974,0.03118946791669328,3
62.0,center,1.0,0.0,0.03991343673840578,0.003991343673840578,0.08934588601430485,3
62.0,off_center,1.0,-1.0,0.001190531954887275,0.0001190531954887275,0.015430696386665606,3
63.0,center,1.0,0.0,0.0,0.0,0.0,4
63.0,off_center,1.0,-1.0,0.0,0.0,0.0,4
64.0,center,1.0,0.0,0.015393917800321094,0.0015393917800321094,0.05548678725664533,4
64.0,off_center,1.0,-1.0,0.0005868184633761597,5.868184633761597e-05,0.010833452481791387,4
65.0,center,1.0,0.0,0.024899294663059762,0.002489929466305976,0.0705681155523651,4
65.0,off_center,1.0,-1.0,0.0012421823094073137,0.00012421823094073138,0.015761867334851628,4
66.0,center,1.0,0.0,0.036004534306775,0.0036004534306774997,0.08485815730591255,4
66.0,off_center,1.0,-1.0,0.0021744948504738293,0.00021744948504738294,0.020854231467372895,4
67.0,center,1.0,0.0,0.10181111077029284,0.010181111077029284,0.14269625837441768,4
67.0,off_center,1.0,-1.0,0.005872693654679795,0.0005872693654679795,0.03427154404073384,4
68.0,center,1.0,0.0,0.3894659135019486,0.03894659135019486,0.27909350171652103,4
68.0,off_center,1.0,-1.0,0.021078292471338522,0.0021078292471338523,0.06492810250013244,4
69.0,center,1.0,0.0,1.1140291738634618,0.11140291738634618,0.47202312948910924,4
69.0,off_center,1.0,-1.0,0.06300988237533263,0.006300988237533263,0.11225852517767426,4
70.0,center,1.0,0.0,2.405856216212157,0.24058562162121572,0.6936650800223632,4
70.0,off_center,1.0,-1.0,0.13615135030817715,0.013615135030817715,0.16501596911097857,4
71.0,center,1.0,0.0,3.793907889713134,0.3793907889713134,0.8710806954253014,4
71.0,off_center,1.0,-1.0,0.2290603533679213,0.02290603533679213,0.21403754500924427,4
72.0,center,1.0,0.0,4.876009290146788,0.48760092901467883,0.9875230924030879,5
72.0,off_center,1.0,-1.0,0.3345637859772782,0.03345637859772782,0.2586750030355767,5
73.0,center,1.0,0.0,5.869492776278154,0.5869492776278153,1.0834659917393026,5
73.0,off_center,1.0,-1.0,0.46889425226549897,0.046889425226549895,0.30623332681649756,5
74.0,center,1.0,0.0,6.794164869542271,0.6794164869542272,1.1656899132738752,5
74.0,off_center,1.0,-1.0,0.6395812635548418,0.06395812635548417,0.35765381685502584,5
