start,x1_final,y1_final,x2_final,y2_final,D_tau_final,hard_min_final,critical_pair_distance,hardest_pair_deg,separation_final,iterations,objective_gradient_evaluations,converged,status_message,wall_time_s
R01_random,1.3265412091384203,0.20001719346620672,2.2249989759885263,-0.35000004251375166,0.18141904473304749,0.11014574766159058,0.14917942881584167,"[59.0, 67.0]",1.053444501949824,25,100,False,ABNORMAL: ,113.03205700000399
R02_random,2.4915166587901227,0.03042676436344011,2.824999896726252,-0.15008883501880235,0.20182393491268158,0.12766151130199432,0.16122464835643768,"[59.0, 67.0]",0.3792056850901569,35,188,False,ABNORMAL: ,213.9269037420163
R03_random,2.4929868065117673,0.04996941565098873,2.8250000692621273,-0.15000002306585242,0.201836496591568,0.12791165709495544,0.16073806583881378,"[59.0, 67.0]",0.38758300151434416,41,166,False,ABNORMAL: ,189.60521071398398
R04_random,1.2250000245046586,-0.12700562434556834,2.9249998459166284,-0.24997590969384686,0.22856304049491882,0.15370383858680725,0.18811719119548798,"[59.0, 67.0]",1.7044415753786828,25,97,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,110.63017748101265
R05_random,2.428644513334548,0.047306029624987554,2.7750008642531947,-0.11313701215696975,0.20028136670589447,0.12295367568731308,0.1597920060157776,"[59.0, 67.0]",0.38171283902683656,13,73,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,81.93727121001575
R06_random,2.492853034431393,0.04995991155248055,2.8249996507124155,-0.15000026405999145,0.2018364667892456,0.12790220975875854,0.160760298371315,"[59.0, 67.0]",0.38769246386524386,27,109,False,ABNORMAL: ,123.01175789698027
R07_random,2.492093464162294,0.04999274042110883,2.825000179651126,-0.1499805000786134,0.20183596014976501,0.12784790992736816,0.16088657081127167,"[59.0, 67.0]",0.3883505866269832,22,85,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,95.99634962901473
R08_random,1.2749998629883887,-0.1250143085615879,2.2816148471928215,-0.3280258496290004,0.19427049160003662,0.1216505914926529,0.1594216525554657,"[60.0, 83.0]",1.026882375070999,17,119,False,ABNORMAL: ,133.3842627450067
R09_random,2.4930734584237024,0.026866986693273958,2.825000034283359,-0.1500064276698577,0.20182448625564575,0.12774203717708588,0.16101323068141937,"[59.0, 67.0]",0.37611096297554053,39,127,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,143.45904348400654
R10_random,1.2749999288780878,-0.12500060601147173,2.2768571154376493,-0.3500022304552286,0.19427041709423065,0.12125743925571442,0.1574799120426178,"[60.0, 83.0]",1.0268123262132032,40,98,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,110.19039694400271
V2_surrogate,1.2249999558669336,-0.12522048758954515,2.9249999116389733,-0.24999165689005784,0.2285638451576233,0.15382543206214905,0.18831846117973328,"[59.0, 67.0]",1.7045725840554735,26,113,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,127.20969308598433
