start,x1_initial,y1_initial,x2_initial,y2_initial,x1_final,y1_final,x2_final,y2_final,D_tau_initial,D_tau_final,hard_min_initial,hard_min_final,N_eff_final,top1_weight_final,top10_weight_final,separation_final,penalty_active,iterations,objective_gradient_evaluations,converged,status_message,wall_time_s
R01_random,2.2739233746429086,-0.9180529521276106,1.5395734275277406,-0.9669447289429418,1.4196368138921212,-0.04534578831771795,2.7480968298522357,-0.4469884268732823,0.08080940693616867,0.22479583323001862,0.02578642964363098,0.15655335783958435,33.25443865766278,0.0791476101075372,0.5548111940088885,1.3878482709254003,False,21,54,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,44.607171359006315
R02_random,2.626540478400545,0.21327155153435973,2.8255111545554437,0.4589931219679968,2.4461173133420178,-0.09025040556520397,2.788668912791993,-0.0426808152305817,0.17460133135318756,0.21438151597976685,0.10663807392120361,0.1445724368095398,31.22988818906155,0.08858777721228367,0.5625649427553403,0.34583878355433195,False,17,33,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,26.871500447014114
R03_random,2.087249982930846,0.6317071082430643,2.8701448475755367,-0.9945229996597038,2.44625320257229,-0.09020643365243927,2.7889536660403436,-0.04210356506020506,0.10975135862827301,0.21438147127628326,0.03524421527981758,0.14452852308750153,31.208181022719135,0.08886769593153879,0.5630176172068697,0.3460599566953975,False,15,31,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,25.165407029009657
R04_random,2.7148085531751387,0.45931089285988813,1.0671711506109287,-0.648688758794882,1.1734798140427871,-0.10897239002828665,2.9658056005496967,-0.13459022982308613,0.13773420453071594,0.23333828151226044,0.07060890644788742,0.15978334844112396,23.992641419173953,0.11597997453208518,0.6425130858973757,1.792508855959536,False,14,35,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,28.199071760987863
R05_random,2.7263578446997734,-0.40057621892523043,2.0829224404981836,-0.1546255576046831,2.4465545151622305,-0.09025328211064775,2.7889888436693497,-0.04269415337234054,0.15013527870178223,0.21438148617744446,0.06442483514547348,0.14453212916851044,31.21304912189919,0.08884485618517476,0.5631315338731562,0.34572118833891063,False,15,47,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,38.49392185997567
R06_random,2.2307702229625077,0.994419871578422,1.7673551085237669,0.9616706775524602,2.446540391518398,-0.0902547017255331,2.7890874795337437,-0.042763420085046897,0.06561587750911713,0.21438144147396088,0.016979990527033806,0.14453034102916718,31.20218942715817,0.08885597343321351,0.5633070497089071,0.3458235523206149,False,18,40,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,32.7147570940142
R07_random,2.3710839689613894,0.37689346114188016,2.3009185525356326,-0.22215715204179243,2.4465244545382365,-0.0900937980419781,2.788962591970464,-0.04269144125279494,0.16360288858413696,0.21438154578208923,0.08850838243961334,0.14452968537807465,31.212641245671126,0.08886075526761159,0.5631471486509665,0.34570342983144103,False,14,48,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,38.50339764601085
R08_random,1.2701930100448224,0.050708644951451776,2.4429766803881634,-0.3795162488820887,1.173498201520038,-0.10896552990563006,2.9657955439799966,-0.13459023656021452,0.19514264166355133,0.23333822190761566,0.11516580730676651,0.15978358685970306,23.992607457258956,0.11597744132577881,0.6425051115038526,1.7924805129708283,False,29,68,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,55.09137429698603
R09_random,1.9716707176635782,0.8680870319124994,2.7789756686980005,-0.28440960658185954,1.17350377218597,-0.10897264462867838,2.965787115380844,-0.13461227407428347,0.13622158765792847,0.23333819210529327,0.0527997724711895,0.15978460013866425,23.992820098588357,0.11596886226436369,0.642498689381623,1.7924667285313562,False,16,38,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,30.862536769011058
R10_random,2.143059661459522,0.1886000603993936,1.6437387821518843,-0.3241775489857335,1.4195539067010514,-0.04529181378368658,2.7480623518098133,-0.4469688519675027,0.15554587543010712,0.22479578852653503,0.07633838802576065,0.1565461903810501,33.25142388008713,0.07918822160560063,0.5548543001763172,1.3879045830781822,False,23,59,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,47.451847258984344
