alpha_deg,case,n_sensors,n_times,n_scalar,objective,objective_per_scalar,residual_rms,worker
49.0,Ns3,3,5,30,9.97194571511621,0.33239819050387365,0.8153504651422891,5
49.0,Ns5,5,5,50,11.09434003362546,0.2218868006725092,0.6661633443420754,5
50.0,Ns1,1,5,10,4.309909707872134,0.4309909707872134,0.9284298258750775,5
50.0,Ns2,2,5,20,4.981163519832812,0.2490581759916406,0.7057735840786911,5
50.0,Ns3,3,5,30,9.291073227704944,0.30970244092349813,0.7870227962689494,5
50.0,Ns5,5,5,50,10.29361504891738,0.20587230097834758,0.6416732828758691,5
51.0,Ns1,1,5,10,4.268883682372765,0.4268883682372765,0.9240003985251051,5
51.0,Ns2,2,5,20,4.932869110766874,0.24664345553834371,0.7023438695373424,5
51.0,Ns3,3,5,30,9.201752793139638,0.3067250931046546,0.7832306085753475,5
51.0,Ns5,5,5,50,10.183644748890814,0.20367289497781627,0.638236468681971,5
52.0,Ns1,1,5,10,4.344231060594003,0.4344231060594003,0.9321192048868002,5
52.0,Ns2,2,5,20,5.0669076553680155,0.2533453827684008,0.7118221445956859,5
52.0,Ns3,3,5,30,9.411138715962018,0.3137046238654006,0.7920916914920906,5
52.0,Ns5,5,5,50,10.421322743694745,0.20842645487389488,0.6456414715209904,5
53.0,Ns1,1,5,10,4.299399771706887,0.4299399771706887,0.9272971230093283,5
53.0,Ns2,2,5,20,5.048538067557241,0.25242690337786206,0.7105306515244252,5
53.0,Ns3,3,5,30,9.34793783926413,0.311597927975471,0.7894275495262006,5
53.0,Ns5,5,5,50,10.347858726828274,0.20695717453656548,0.6433617559920165,5
54.0,Ns1,1,5,10,3.9024204529239355,0.39024204529239354,0.8834501064490213,5
54.0,Ns2,2,5,20,4.580914567767177,0.22904572838835885,0.6768245391360436,5
54.0,Ns3,3,5,30,8.483335020691113,0.2827778340230371,0.75203435296938,5
54.0,Ns5,5,5,50,9.3543584823383,0.187087169646766,0.611697915063908,5
55.0,Ns1,1,5,10,3.0698240586626273,0.30698240586626274,0.7835590671624734,6
55.0,Ns2,2,5,20,3.646591809560409,0.18232959047802044,0.6038701689569049,6
55.0,Ns3,3,5,30,6.716415868223035,0.22388052894076785,0.6691495033858545,6
55.0,Ns5,5,5,50,7.346994473525033,0.14693988947050066,0.5421067966194496,6
56.0,Ns1,1,5,10,2.068484250559493,0.2068484250559493,0.6431927006052686,6
56.0,Ns2,2,5,20,2.5132380741974334,0.12566190370987168,0.501322059578215,6
56.0,Ns3,3,5,30,4.581722324756925,0.1527240774918975,0.5526736423820074,6
56.0,Ns5,5,5,50,4.96520946935131,0.09930418938702619,0.4456549997184508,6
57.0,Ns1,1,5,10,1.3026956713555613,0.13026956713555612,0.5104303422320349,6
57.0,Ns2,2,5,20,1.5769268473257767,0.07884634236628883,0.3971053824019232,6
57.0,Ns3,3,5,30,2.8796225186813382,0.09598741728937794,0.4381493290862784,6
57.0,Ns5,5,5,50,3.1000683346840368,0.06200136669368073,0.35214021836104076,6
58.0,Ns1,1,5,10,0.8563387886534277,0.08563387886534277,0.4138450890498588,6
58.0,Ns2,2,5,20,1.0054655192731197,0.05027327596365598,0.31709076291704236,6
58.0,Ns3,3,5,30,1.8618043079265474,0.06206014359755158,0.3523070921725862,6
58.0,Ns5,5,5,50,1.9980354477332765,0.03996070895466553,0.28270376352169607,6
59.0,Ns1,1,5,10,0.5810971172359585,0.058109711723595844,0.34090969984321606,6
59.0,Ns2,2,5,20,0.6510692978522289,0.03255346489261145,0.2551605960669141,6
59.0,Ns3,3,5,30,1.2321664150881875,0.041072213836272915,0.2866084919756319,6
59.0,Ns5,5,5,50,1.32184462812826,0.026436892562565203,0.22994300407955534,6
60.0,Ns1,1,5,10,0.35435157275638784,0.035435157275638784,0.2662147902564348,6
60.0,Ns2,2,5,20,0.37515372335477726,0.018757686167738864,0.19368885444309317,6
60.0,Ns3,3,5,30,0.7295052961111651,0.024316843203705505,0.22053046593931416,6
60.0,Ns5,5,5,50,0.7851625187309329,0.015703250374618657,0.1772187934425616,6
61.0,Ns1,1,5,10,0.16548769661365972,0.016548769661365974,0.18192729130818155,6
61.0,Ns2,2,5,20,0.16747329459181692,0.008373664729590845,0.1294114734449063,6
61.0,Ns3,3,5,30,0.3329609912054766,0.01109869970684922,0.14898791700570366,6
61.0,Ns5,5,5,50,0.36119091079432586,0.007223818215886517,0.120198321251892,6
62.0,Ns1,1,5,10,0.03991343673840578,0.003991343673840578,0.08934588601430485,7
62.0,Ns2,2,5,20,0.04006412058735914,0.0020032060293679573,0.0632962246799595,7
62.0,Ns3,3,5,30,0.07997755732576492,0.0026659185775254972,0.07301942998305995,7
62.0,Ns5,5,5,50,0.08750627783237605,0.001750125556647521,0.05916292008762788,7
63.0,Ns1,1,5,10,0.0,0.0,0.0,7
63.0,Ns2,2,5,20,0.0,0.0,0.0,7
63.0,Ns3,3,5,30,0.0,0.0,0.0,7
63.0,Ns5,5,5,50,0.0,0.0,0.0,7
64.0,Ns1,1,5,10,0.015393917800321094,0.0015393917800321094,0.05548678725664533,7
64.0,Ns2,2,5,20,0.017113905456240502,0.0008556952728120251,0.04136895630329644,7
64.0,Ns3,3,5,30,0.0325078232565616,0.0010835941085520532,0.04655306882584763,7
64.0,Ns5,5,5,50,0.03614246909215818,0.0007228493818431637,0.03802234558370022,7
65.0,Ns1,1,5,10,0.024899294663059762,0.002489929466305976,0.0705681155523651,7
65.0,Ns2,2,5,20,0.03001791738872265,0.0015008958694361324,0.05478860957235787,7
65.0,Ns3,3,5,30,0.05491721205178241,0.0018305737350594138,0.06050741665381879,7
65.0,Ns5,5,5,50,0.061928379745310354,0.001238567594906207,0.04977082669408269,7
66.0,Ns1,1,5,10,0.036004534306775,0.0036004534306774997,0.08485815730591255,7
66.0,Ns2,2,5,20,0.045951679170941624,0.0022975839585470813,0.0677876678835772,7
66.0,Ns3,3,5,30,0.08195621347771662,0.0027318737825905537,0.07391716691798399,7
66.0,Ns5,5,5,50,0.09261004635245304,0.0018522009270490608,0.060863797565532514,7
67.0,Ns1,1,5,10,0.10181111077029284,0.010181111077029284,0.14269625837441768,7
67.0,Ns2,2,5,20,0.13310930213534217,0.006655465106767108,0.11537300470012132,7
67.0,Ns3,3,5,30,0.234920412905635,0.007830680430187833,0.12514535892463477,7
67.0,Ns5,5,5,50,0.26007893658076353,0.00520157873161527,0.1019958698341778,7
68.0,Ns1,1,5,10,0.3894659135019486,0.03894659135019486,0.27909350171652103,8
68.0,Ns2,2,5,20,0.5315156713798879,0.026575783568994392,0.230546236442907,8
68.0,Ns3,3,5,30,0.9209815848818366,0.030699386162727885,0.2477877566092719,8
68.0,Ns5,5,5,50,1.0125121795315921,0.020250243590631843,0.2012473283829221,8
69.0,Ns1,1,5,10,1.1140291738634618,0.11140291738634618,0.47202312948910924,8
69.0,Ns2,2,5,20,1.5518091737217892,0.07759045868608946,0.3939300919861022,8
69.0,Ns3,3,5,30,2.665838347585251,0.08886127825284171,0.4215715318966443,8
69.0,Ns5,5,5,50,2.942025986456449,0.05884051972912898,0.34304670157029343,8
70.0,Ns1,1,5,10,2.405856216212157,0.24058562162121572,0.6936650800223632,8
70.0,Ns2,2,5,20,2.9887124024522196,0.14943562012261097,0.5466911744716774,8
70.0,Ns3,3,5,30,5.394568618664375,0.17981895395547917,0.599698180680047,8
70.0,Ns5,5,5,50,5.965183103051966,0.11930366206103932,0.4884744866644302,8
71.0,Ns1,1,5,10,3.793907889713134,0.3793907889713134,0.8710806954253014,8
71.0,Ns2,2,5,20,4.348347374850337,0.21741736874251685,0.6594200008227182,8
71.0,Ns3,3,5,30,8.142255264563472,0.2714085088187824,0.7367611672974933,8
71.0,Ns5,5,5,50,9.045413963497387,0.18090827926994774,0.601511893930532,8
72.0,Ns1,1,5,10,4.876009290146788,0.48760092901467883,0.9875230924030879,8
72.0,Ns2,2,5,20,5.520378223018118,0.2760189111509059,0.7429924779577595,8
72.0,Ns3,3,5,30,10.396387513164907,0.34654625043883025,0.8325217720141982,8
72.0,Ns5,5,5,50,11.666382933297736,0.23332765866595473,0.6831217441510038,8
73.0,Ns1,1,5,10,5.869492776278154,0.5869492776278153,1.0834659917393026,8
73.0,Ns2,2,5,20,6.618807047298099,0.33094035236490493,0.813560510797943,8
73.0,Ns3,3,5,30,12.488299823576254,0.4162766607858751,0.9124435991181867,8
73.0,Ns5,5,5,50,14.273128321469274,0.2854625664293855,0.7555958793288718,8
74.0,Ns1,1,5,10,6.794164869542271,0.6794164869542272,1.1656899132738752,9
74.0,Ns2,2,5,20,7.5577879875720395,0.377889399378602,0.8693553926658556,9
74.0,Ns3,3,5,30,14.351952857114311,0.47839842857047704,0.9781599343363815,9
74.0,Ns5,5,5,50,16.939660825705026,0.33879321651410055,0.8231563843087175,9
75.0,Ns1,1,5,10,7.236024090736802,0.7236024090736801,1.2029982619053778,9
75.0,Ns2,2,5,20,8.679381360481303,0.43396906802406515,0.9316319745737209,9
75.0,Ns3,3,5,30,15.915405451218103,0.5305135150406034,1.0300616632421609,9
